year,sex,age,idierp
2013,Female,68,19479
2013,Female,69,18264
2013,Female,70,16338
2013,Female,71,18444
2013,Female,72,17694
2013,Female,73,16146
2013,Female,74,14739
2013,Female,75,13893
2013,Female,76,13053
2013,Female,77,12165
2013,Female,78,11331
2013,Female,79,10950
2013,Female,80,10698
2013,Female,81,10146
2013,Female,82,9987
2013,Female,83,9120
2013,Female,84,8361
2013,Female,85,7731
2013,Female,86,6993
2013,Female,87,6354
2013,Female,88,5808
2013,Female,89,4851
2013,Female,90,18186
2013,Male,0,30693
2013,Male,1,30900
2013,Male,2,31488
2013,Male,3,32160
2013,Male,4,32259
2013,Male,5,32313
2013,Male,6,31389
2013,Male,7,29967
2013,Male,8,29508
2013,Male,9,29655
2013,Male,10,29130
2013,Male,11,28950
2013,Male,12,30132
2013,Male,13,30756
2013,Male,14,30225
2013,Male,15,31146
2013,Male,16,31119
2013,Male,17,32109
2013,Male,18,32502
2013,Male,19,33099
2013,Male,20,34023
2013,Male,21,34401
2013,Male,22,34827
2013,Male,23,33345
2013,Male,24,32019
2013,Male,25,31011
2013,Male,26,29613
2013,Male,27,28380
2013,Male,28,27942
2013,Male,29,28014
2013,Male,30,27951
2013,Male,31,27558
2013,Male,32,27408
2013,Male,33,26922
2013,Male,34,26610
2013,Male,35,26148
2013,Male,36,26937
2013,Male,37,26814
2013,Male,38,27654
2013,Male,39,29016
2013,Male,40,30069
2013,Male,41,31182
2013,Male,42,31788
2013,Male,43,31059
2013,Male,44,31287
2013,Male,45,30942
2013,Male,46,30675
2013,Male,47,30678
2013,Male,48,31056
2013,Male,49,32001
2013,Male,50,32253
2013,Male,51,32310
2013,Male,52,31209
2013,Male,53,30198
2013,Male,54,29838
2013,Male,55,28197
2013,Male,56,27585
2013,Male,57,26559
2013,Male,58,25782
2013,Male,59,25017
2013,Male,60,24159
2013,Male,61,24027
2013,Male,62,23502
2013,Male,63,23202
2013,Male,64,22950
2013,Male,65,23073
2013,Male,66,23142
2013,Male,67,19311
2013,Male,68,18063
2013,Male,69,17211
2013,Male,70,15012
2013,Male,71,16656
2013,Male,72,16104
2013,Male,73,14529
2013,Male,74,12771
2013,Male,75,12129
2013,Male,76,11154
2013,Male,77,10275
2013,Male,78,9690
2013,Male,79,8955
2013,Male,80,8283
2013,Male,81,8085
2013,Male,82,7695
2013,Male,83,6546
